name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density,intercept,min_rail_distance_estimate,min_park_distance_estimate,min_pier_distance_estimate,population_density_estimate,localR2
"River Street , Clerkenwell",1,51.52916347,-0.109970527,34.0,Kings Cross_diatance,990.0,Lincoln's Inn Fields South_distance,1564.0,Blackfriars Pier_diatance,2154.0,13116.0,-0.18445511041765897,0.07542335885141382,0.07402653969505422,-0.08248102967011202,0.019558571624972418,0.1191151305436519
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,39.0,Paddington_diatance,2415.0,Holland Park Duchess of Bedford_diatance,386.0,Cadogan Pier_diatance,2854.0,12893.0,0.4889843134778984,-0.45225289613311903,-0.24812981094911965,-0.3484433716266566,-0.08813637670830414,0.29191524947436304
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,4.0,Liverpool Street_diatance,362.0,Lincoln's Inn Fields South_distance,2273.0,London Bridge City Pier_diatance,1596.0,6784.0,-0.15545206924284508,0.12156523686275003,0.056215561257783646,-0.034826734359980016,-0.012162342348566748,0.04769453081263027
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,6.0,Kings Cross_diatance,306.0,Lincoln's Inn Fields West_distance,1584.0,Embankment Pier_diatance,2567.0,26642.0,-0.2298170441832277,-0.05408027755189463,-0.005759666637969417,0.03124235070567373,-0.029904731177922327,0.10532609517275389
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,17.0,Euston_diatance,1356.0,The Regent's Park St. Andrew's Gate_distance,813.0,Embankment Pier_diatance,2011.0,10022.0,-0.2823567488253644,-0.061614036966280136,-0.07928294587925237,0.13257865434677937,-0.05795830600922454,-0.7018523662352448
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,22.0,Marylebone_diatance,1294.0,The Regent's Park Monkey Gate_distance,646.0,Embankment Pier_diatance,4437.0,5024.0,0.0006179417732455755,0.023429800198089948,-0.29417882931177103,-0.12862411933928145,-0.09901602995923006,0.43655619910744614
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,16.0,Paddington_diatance,1490.0,The Regent's Park Hanover Gate_distance,1245.0,Embankment Pier_diatance,4996.0,21137.0,2.221690232211493,0.8379256502772982,-0.20521913388250007,-0.8994487904401355,-0.18407184830025403,0.40470490548286553
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,24.0,Cannon Street_diatance,472.0,Geraldine Mary Harmsworth Park North_diatance,1413.0,Bankside Pier_diatance,156.0,9531.0,-0.1321921277235618,0.049257754513424734,0.10946225386303425,-0.05425297385125678,0.03885298907907423,0.18455102514060517
"Park Street, Bankside",10,51.50597426,-0.092754157,21.0,Cannon Street_diatance,471.0,Geraldine Mary Harmsworth Park East_diatance,1439.0,Bankside Pier_diatance,418.0,9531.0,-0.1941188004881264,-0.015815659400517525,0.08355861612771945,-0.06926669689489234,0.028569900631601804,0.1692688153405306
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,13.0,St Pancras_diatance,865.0,Lincoln's Inn Fields West_distance,945.0,Embankment Pier_diatance,1889.0,30478.0,-0.19435290739429548,-0.044232797520027116,0.13383710364914206,-0.10991602140031503,-0.005493974096510353,0.1776431365867456
