name,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_min_rail_distance,beta_min_park_distance,beta_min_pier_distance,beta_population_density,se_Intercept,se_min_rail_distance,se_min_park_distance,se_min_pier_distance,se_population_density,t_Intercept,t_min_rail_distance,t_min_park_distance,t_min_pier_distance,t_population_density,p_Intercept,p_min_rail_distance,p_min_park_distance,p_min_pier_distance,p_population_density,sumW
"River Street , Clerkenwell",-0.109970527,51.52916347,0.0793264833046056,0.09884594803224031,-0.18864981345230447,0.26797629675691004,0.11458465240610335,0.08201363955635854,9.155987499377013e-05,-0.19973058953238293,-0.005427116270165108,0.11747478779643579,-0.17329524228908988,0.010141914769348939,0.29803426314305836,0.5671374135232927,0.5010289232832197,0.827669674645271,0.1702005557580717,-0.6701598246659007,-0.009569314491966968,0.23446707832080604,-0.20937730062825136,0.059588023812125315,0.5029522519299623,0.9923673302997131,0.814683295750118,0.83420782758948,0.9524988652063171,23.637381119904738
"Phillimore Gardens, Kensington",-0.197574246,51.49960695,0.1528908877796101,-0.06764741399596108,0.047716836149559905,0.1051740516300502,0.2158889520071313,0.06539224827886427,1.0848845423468176e-05,0.13466191812405115,-0.28194460212668804,-0.4984483625564668,-0.39315467276566535,-0.02176603993280652,0.6461305765635672,0.34916251208106663,0.5012591864172481,0.26750585794256665,0.2728559157670513,0.20841285493753897,-0.8074881820681473,-0.9943924741192841,-1.4697049096026729,-0.07977118572495644,0.8349604767624959,0.41962895208389006,0.32033707686184976,0.1420408206591356,0.9364394953976222,19.974272962002942
"Christopher Street, Liverpool Street",-0.084605692,51.52128377,-0.3620599435454215,-0.26609129451322305,-0.19060028494342102,-0.17145965860200046,0.07433216802674215,0.12796184127857418,6.480853612451979e-05,-0.10773668863763586,0.17514909379401894,0.06602827033050712,0.02035052479194591,-0.019964102598058236,0.47325059351010706,0.9662350790402742,0.5020307944655897,0.5840876212311705,0.15558595535689163,-0.2276525166900503,0.18126964917066363,0.13152235093624887,0.03484156152641962,-0.1283155831917057,0.8199754426693627,0.8562025415615359,0.895395678533535,0.9722149030277005,0.8979319735849701,22.160647529039505
"St. Chad's Street, King's Cross",-0.120973687,51.53005939,-0.33263418175541964,-0.17946897002279924,-0.20773448117569498,-0.12489970057972466,0.08173934824208648,0.14235115144584626,3.955155488388546e-05,-0.19540278456470744,-0.017815939024544925,0.01789817015877616,-0.0019462175420375321,-0.027291477452967502,0.3401625955016323,0.5624671278875878,0.37551369639472026,0.6379565754961879,0.15521513309188215,-0.5744393626716956,-0.031674631531721335,0.047663162038069966,-0.003050705356432464,-0.17583000387476305,0.56583446734721,0.9747395465699003,0.9619967701720971,0.9975666651963111,0.8604726709286773,23.495057421353017
"Broadcasting House, Marylebone",-0.144228881,51.51811784,-0.17079249191040974,-0.2980167003725726,-0.18424135874769268,0.013448866837282941,-0.21708166787837543,0.11941044634330765,3.6489293164543865e-07,-0.2753481771671661,-0.050868507367561544,-0.12006142113990498,0.040912588662323036,-0.05054605853004138,0.418396963821771,0.5576924120419735,0.5685454448239253,0.4534723872854941,0.20310799633610732,-0.6581027133945911,-0.09121247890267697,-0.21117295412873668,0.09022068335235936,-0.24886296670662197,0.5106643431046977,0.92734694046207,0.8328069133752956,0.9281347752328634,0.8035316295490604,20.563413022070744
"Charlbert Street, St. John's Wood",-0.16807429999999998,51.53430039,-0.09722808743540523,-0.5109936298245573,0.03389373384383648,-0.1311218212792417,0.575465643526614,0.20746574720241134,7.439762442122776e-05,0.3905069724515015,0.07338576301144288,-0.18477986109464567,-0.2671702490836825,-0.1036123635641952,1.1589077313947478,0.49583235566808925,0.5098763073374624,0.4414979821236652,0.16225658194026343,0.33696122812255774,0.14800519202213458,-0.3624013480044854,-0.6051448928453927,-0.6385710972411661,0.7362358522979913,0.8823765337096996,0.7171493038623462,0.5452569539225267,0.5232875344501109,17.256388120553147
"Maida Vale, Maida Vale",-0.18348604,51.529857,-0.18550537280541063,-0.34341906510026415,-0.12544896885739493,-0.0600564039480157,-0.8552031144468908,0.2758297289598459,2.4852903701948528e-05,0.43606526832888887,0.1401655276906514,0.08457637352013837,-0.20316948428101786,-0.044890558822791346,1.4557024585077896,0.45408146079915807,0.4672388242967394,0.6037932664685557,0.14288256745511022,0.2995565926129508,0.30867925645757016,0.1810131545627395,-0.3364884896271007,-0.31417799681472497,0.7645943924101519,0.7576471120714418,0.8564037964983776,0.7365921170273767,0.7534690110477857,17.860633808606096
"New Globe Walk, Bankside",-0.09644075099999999,51.507385299999996,-0.06780232564540342,0.03958538724887156,-0.08897219611652012,0.021169870471116695,0.254002315837364,0.20397624256853963,1.8900040305839603e-06,-0.06945105648391105,0.033893192320308595,0.1702387849057616,0.0034553654958092463,0.05739224111729278,0.9012311705723858,0.9509657985186797,0.32825307976988705,0.9275000295508274,0.20292521157872623,-0.0770624216645787,0.035640811029275764,0.5186205260438163,0.0037254613323113544,0.28282459666194343,0.9385934490502216,0.9715777927444441,0.604170992496086,0.9970284617019153,0.7773855742669726,18.786742644289816
"Park Street, Bankside",-0.09275415699999999,51.50597426,-0.11194096833040612,-0.02150924895661982,-0.07391020485202858,-0.03803076347837754,0.253259900938558,0.06475177350663652,1.4027063720568664e-06,-0.08341563009238494,0.03997412320946438,0.1690974056580299,-0.008417012012570429,0.02970183793609237,0.8042181371403381,0.9613460767172703,0.27434749403745423,0.8570383278301333,0.17822884520229396,-0.10372264220376405,0.04158140775480657,0.6163621295368731,-0.009821045032934276,0.16665000495503451,0.9174158494950329,0.966842928045806,0.5378335532475087,0.9921665515485003,0.867688197416488,19.371794085563955
"Brunswick Square, Bloomsbury",-0.122502346,51.52395143,-0.22964401549041336,-0.07334761376592913,-0.22140997386187627,-0.008234041628537081,0.14423825418332778,0.20972150442663814,2.982686115776669e-07,-0.21978708448766876,-0.11560593749454742,0.1799182425201888,-0.22839336298445823,-0.0035480152420067305,0.48281747577414785,0.7868945274569595,0.5339282216781022,0.9512896861904704,0.16722758911367658,-0.455217748974937,-0.14691414600144195,0.33697084217559675,-0.240088131197008,-0.021216685959604967,0.6490779877791436,0.8832373642631822,0.7362286075537878,0.8103243767621897,0.9830781748684542,19.200096345953202
