name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"River Street , Clerkenwell",1,51.52916347,-0.109970527,39.0,Kings Cross_diatance,989.794020790313,Lincoln's Inn Fields South_distance,1563.527946412427,Blackfriars Pier_diatance,2154.498742890281,13116.0
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,73.0,Paddington_diatance,2414.7060831920335,Holland Park Duchess of Bedford_diatance,385.52269515924354,Cadogan Pier_diatance,2854.1826377239286,12893.0
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,20.0,Liverpool Street_diatance,361.7490102260871,Lincoln's Inn Fields South_distance,2273.4419011980854,London Bridge City Pier_diatance,1596.3350457284998,6784.0
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,31.0,Kings Cross_diatance,305.9934084086216,Lincoln's Inn Fields West_distance,1584.2949826144197,Embankment Pier_diatance,2566.722816955055,26642.0
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,24.0,Euston_diatance,1355.5936768738852,The Regent's Park St. Andrew's Gate_distance,813.3597797266998,Embankment Pier_diatance,2011.0229721890173,10022.0
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,93.0,Marylebone_diatance,1293.949480849201,The Regent's Park Monkey Gate_distance,645.7611604671087,Embankment Pier_diatance,4437.086146918411,5024.0
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,158.0,Paddington_diatance,1489.8998344578647,The Regent's Park Hanover Gate_distance,1244.6429063602463,Embankment Pier_diatance,4996.4947956147835,21137.0
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,39.0,Cannon Street_diatance,471.8787647343346,Geraldine Mary Harmsworth Park North_diatance,1413.3714022682539,Bankside Pier_diatance,156.03414651126658,9531.0
"Park Street, Bankside",10,51.50597426,-0.092754157,38.0,Cannon Street_diatance,471.2019147203891,Geraldine Mary Harmsworth Park East_diatance,1438.587972988625,Bankside Pier_diatance,418.33087792853865,9531.0
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,39.0,St Pancras_diatance,864.8283444817716,Lincoln's Inn Fields West_distance,945.17651461166,Embankment Pier_diatance,1889.14990217428,30478.0
"Malet Street, Bloomsbury",12,51.52168078,-0.130431727,46.0,Euston_diatance,829.6976002211627,Lincoln's Inn Fields West_distance,1073.8638261030956,Embankment Pier_diatance,1751.9037928129235,12381.0
"Scala Street, Fitzrovia",13,51.51991453,-0.136039674,12.0,Euston_diatance,982.6899517389589,The Regent's Park St. Andrew's Gate_distance,913.1243980570426,Embankment Pier_diatance,1762.004601117004,19918.0
"Belgrove Street , King's Cross",14,51.52994371,-0.123616824,48.0,St Pancras_diatance,236.0661679333551,The Regent's Park Chester Gate_distance,1564.7817908348495,Embankment Pier_diatance,2558.6075740635515,20725.0
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,30.0,Charing Cross_diatance,1183.8282359725304,Lincoln's Inn Fields West_distance,713.2488154928964,Embankment Pier_diatance,1277.5754482886814,5482.0
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,70.0,St Pancras_diatance,560.7125569111861,Lincoln's Inn Fields West_distance,1284.978737159744,Embankment Pier_diatance,2178.835079971291,17800.0
