name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"River Street , Clerkenwell",1,51.52916347,-0.109970527,39.0,Kings Cross_diatance,990.0,Lincoln's Inn Fields South_distance,1564.0,Blackfriars Pier_diatance,2154.0,13116.0
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,73.0,Paddington_diatance,2415.0,Holland Park Duchess of Bedford_diatance,386.0,Cadogan Pier_diatance,2854.0,12893.0
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,20.0,Liverpool Street_diatance,362.0,Lincoln's Inn Fields South_distance,2273.0,London Bridge City Pier_diatance,1596.0,6784.0
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,31.0,Kings Cross_diatance,306.0,Lincoln's Inn Fields West_distance,1584.0,Embankment Pier_diatance,2567.0,26642.0
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,24.0,Euston_diatance,1356.0,The Regent's Park St. Andrew's Gate_distance,813.0,Embankment Pier_diatance,2011.0,10022.0
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,93.0,Marylebone_diatance,1294.0,The Regent's Park Monkey Gate_distance,646.0,Embankment Pier_diatance,4437.0,5024.0
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,158.0,Paddington_diatance,1490.0,The Regent's Park Hanover Gate_distance,1245.0,Embankment Pier_diatance,4996.0,21137.0
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,39.0,Cannon Street_diatance,472.0,Geraldine Mary Harmsworth Park North_diatance,1413.0,Bankside Pier_diatance,156.0,9531.0
"Park Street, Bankside",10,51.50597426,-0.092754157,38.0,Cannon Street_diatance,471.0,Geraldine Mary Harmsworth Park East_diatance,1439.0,Bankside Pier_diatance,418.0,9531.0
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,39.0,St Pancras_diatance,865.0,Lincoln's Inn Fields West_distance,945.0,Embankment Pier_diatance,1889.0,30478.0
"Malet Street, Bloomsbury",12,51.52168078,-0.130431727,46.0,Euston_diatance,830.0,Lincoln's Inn Fields West_distance,1074.0,Embankment Pier_diatance,1752.0,12381.0
"Scala Street, Fitzrovia",13,51.51991453,-0.136039674,12.0,Euston_diatance,983.0,The Regent's Park St. Andrew's Gate_distance,913.0,Embankment Pier_diatance,1762.0,19918.0
