name,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_min_rail_distance,beta_min_park_distance,beta_min_pier_distance,beta_population_density,se_Intercept,se_min_rail_distance,se_min_park_distance,se_min_pier_distance,se_population_density,t_Intercept,t_min_rail_distance,t_min_park_distance,t_min_pier_distance,t_population_density,p_Intercept,p_min_rail_distance,p_min_park_distance,p_min_pier_distance,p_population_density,sumW
"River Street , Clerkenwell",-0.109970527,51.52916347,-0.27204633450237264,-0.2512509339109521,-0.33343550735469885,0.0613891728523262,0.28086382443563584,0.08201363955635854,4.98150675669529e-06,-0.23939302669649498,0.2938406933072313,-0.09762669859841364,0.3325197766551375,-0.010484173736036563,0.29290148666667765,0.557055652369015,0.4923112262806591,0.8129565420332413,0.1671749726973129,-0.8173158471159438,0.5274889359036249,-0.1983028080346032,0.40902527928921073,-0.06271377567394142,0.4139949930476049,0.598002579649373,0.8428593022275552,0.6826322518562791,0.9500103312912499,23.637381119904738
"Phillimore Gardens, Kensington",-0.197574246,51.49960695,0.10037226977200213,-0.12456762267841094,-0.07196145854657923,0.17233372831858135,0.260098366195155,0.0653922482788643,3.0197543187108658e-05,-0.06718163502758387,-0.23022147272346338,-0.436573176620167,-0.24769951526294626,0.14344491185938585,0.6344469366191835,0.34295559825931565,0.49253748293094807,0.2627505198131468,0.2680054719298058,-0.10589007708915546,-0.6712865277370054,-0.8863755384102877,-0.9427175079961633,0.535231280266382,0.915696516426723,0.502234742281154,0.3756856172519857,0.34611434235430605,0.5926409470888305,19.974272962002942
"Christopher Street, Liverpool Street",-0.084605692,51.52128377,-0.48016261336158206,-0.35979606841185996,-0.40669440323875194,-0.07346821012283011,0.3477009609309747,0.12796184127857513,1.2335931604186055e-05,-0.3307238099202847,0.222254581094808,0.15901812504852716,0.019842534968487986,0.05938107665025617,0.4649212997537526,0.949058728029948,0.4932956653169038,0.5737045434267289,0.15282016984624489,-0.711354395024392,0.23418422330529862,0.322358650661101,0.03458667914667158,0.38856831994101654,0.47707516753644674,0.8149027925604784,0.7472665101374648,0.9724180826180477,0.6977004664462807,22.160647529039505
"St. Chad's Street, King's Cross",-0.120973687,51.53005939,-0.3596742413904608,-0.2418236891239378,-0.34027815622639684,-0.019396085164063936,0.13549402712072203,0.1423511514458463,9.888573891361905e-07,-0.3102016611866715,0.13939156056989,-0.1286254204774565,0.30793243412953525,0.0012709547074070014,0.3341681941820948,0.5524683884193733,0.36897991266816443,0.6266158921492754,0.15245593953129385,-0.9282800295998144,0.2523068531915336,-0.3485973519461844,0.4914213603382056,0.008336537830630856,0.35354657762476294,0.8008696858722993,0.7274847313668367,0.6232653043643259,0.9933505922344206,23.495057421353017
"Broadcasting House, Marylebone",-0.144228881,51.51811784,-0.43634865991753796,-0.5288618536144717,-0.24959719345453252,-0.18675146646300544,0.10349193924819648,0.11941044634330766,7.294354010687009e-05,-0.3222093336073329,-0.08418553261562788,-0.05257257477550134,0.04505249809394271,-0.06584236520323494,0.41076270390946656,0.547778550671354,0.5586529881416191,0.4454112010726654,0.19949743166737216,-0.7844172086235679,-0.1536853396549584,-0.09410595824500295,0.10114810311335826,-0.33004116721169535,0.4330310822157317,0.8778971929813898,0.9250489099541896,0.9194586231378177,0.7414565759220888,20.563413022070744
"Charlbert Street, St. John's Wood",-0.16807429999999998,51.53430039,0.31944203699222257,-0.05811519439238838,0.43533667944083915,-0.11589464244861658,0.5665477048171819,0.20747679520171097,6.026092705834985e-05,0.8143237648663629,0.5779343065949789,-0.1035897483879924,-0.23227141243714483,-0.14727995610926833,1.138096172113969,0.4870028597709897,0.5010821300183322,0.433623923765662,0.1593811044872232,0.7155140179004279,1.1867164535065546,-0.2067320748081807,-0.5356517473022738,-0.9240741340268165,0.4745034330566986,0.235697129984964,0.836272511819858,0.5923504037218876,0.3557305945852327,17.256388120553147
"Maida Vale, Maida Vale",-0.18348604,51.529857,1.031418780457939,0.8065716429601034,0.41746444786821657,0.6139543325897225,0.2118886907978027,0.2758091505540666,0.0026923918887961696,0.6319579154888452,0.49296163450157626,0.28995909694225463,-0.07197102189281766,-0.0629001185599342,1.4247529316579206,0.4457222703440191,0.4603337583390728,0.5911991686034423,0.14023918476776628,0.44355614327704124,1.1059838542980962,0.6298888397593393,-0.12173735301900186,-0.4485202810048827,0.657485278284756,0.26907104447626,0.5289499094111435,0.9031380667402733,0.6539010561641136,17.860633808606096
"New Globe Walk, Bankside",-0.09644075099999999,51.507385299999996,-0.27204633450237264,-0.10210069948997652,-0.17921333583129245,-0.09283299867108019,0.42160132637614767,0.20397624256853997,3.7678692042317583e-05,-0.5306730411844116,-0.5155809210613903,0.22946458374485745,0.08459376780044102,0.1617044041227586,0.8851575599393476,0.934060883029161,0.3225416113164487,0.9110122550793335,0.19931789619706464,-0.5995238194890118,-0.5519778532951305,0.711426295690349,0.0928568933390192,0.811288936959691,0.5489959660514835,0.5811200322055428,0.4770306492956031,0.9260408541882504,0.41744473698688067,18.786742644289816
"Park Street, Bankside",-0.09275415699999999,51.50597426,-0.28299982286338365,-0.13407585541303885,-0.09372425849082505,-0.1892755643725586,0.35108964585943947,0.06475177350663654,3.6020564341932036e-05,-0.3039540646011513,-0.4438316843231063,0.31809593387967466,0.21145408665570187,0.1216306578632457,0.7898737312884078,0.9442566354267431,0.26957396058401917,0.8418031211320458,0.17506054664662324,-0.3848134867143317,-0.4700328996073435,1.1799950306421843,0.25119185394720467,0.6947919459475299,0.7004794411674331,0.638461564154345,0.23835828500837142,0.8017312698582307,0.48739050278589935,19.371794085563955
"Brunswick Square, Bloomsbury",-0.122502346,51.52395143,-0.27204633450237264,-0.1506446005013371,-0.329125803254955,0.05707946875258235,0.2112610208628596,0.20972150442663812,1.4859562131621283e-05,-0.28760129789226346,-0.01090212714039615,0.26300357336704133,-0.18964215526980185,0.019211562062812066,0.47425092165517946,0.7729062373349126,0.5246380904273836,0.9343790130872438,0.16425485521947553,-0.6064327653565931,-0.014105368301837218,0.5013047625893726,-0.20296063226336056,0.11696191285878149,0.5444020764735769,0.988749487960525,0.6162966653967016,0.8392181965784277,0.9069200383341491,19.200096345953202
