name,id,lat,lon,capacity,number,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Are,Shape__Len,LSOA Code,LSOA Name,Mid-2020 population,Area Sq Km,People per Sq Km
"River Street , Clerkenwell",1,51.52916347,-0.109970527,19,10.0,POINT (-0.109970527 51.52916347),1672,1673,E01002729,Islington 021E,7539,3,342214.391845703,3001.1302528291,E01002729,Islington 021E,1726,0.13,13116
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,37,33.0,POINT (-0.197574246 51.49960695),1805,1806,E01002865,Kensington and Chelsea 011E,27993,9,336371.411529541,2710.96286683094,E01002865,Kensington and Chelsea 011E,1689,0.13,12893
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,32,13.0,POINT (-0.084605692 51.52128377),31784,31785,E01033708,Hackney 027G,14243,5,917923.22769165,5911.8229212978,E01033708,Hackney 027G,2424,0.36,6784
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,23,22.0,POINT (-0.120973687 51.53005939),920,921,E01000938,Camden 024B,6387,2,208973.75353241,2986.5100686719,E01000938,Camden 024B,2174,0.08,26642
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,18,35.0,POINT (-0.144228881 51.51811784),5425,5426,E01004765,Westminster 013D,15472,5,678545.659439087,5064.16815154045,E01004765,Westminster 013D,2687,0.27,10022
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,16,43.0,POINT (-0.1680743 51.53430039),5393,5394,E01004730,Westminster 001D,28806,9,1157923.80548859,6794.53637474525,E01004730,Westminster 001D,2262,0.45,5024
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,39,87.0,POINT (-0.18348604 51.529857),5372,5373,E01004709,Westminster 007E,14236,5,230804.893539429,3146.50584521965,E01004709,Westminster 007E,1877,0.09,21137
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,19,33.0,POINT (-0.09644075100000001 51.5073853),4637,4638,E01003935,Southwark 002D,13553,5,361330.189437866,3801.47340228001,E01003935,Southwark 002D,1340,0.14,9531
"Park Street, Bankside",10,51.50597426,-0.092754157,18,15.0,POINT (-0.092754157 51.50597426),4637,4638,E01003935,Southwark 002D,13553,5,361330.189437866,3801.47340228001,E01003935,Southwark 002D,1340,0.14,9531
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,24,52.0,POINT (-0.122502346 51.52395143),835,836,E01000853,Camden 025A,7640,3,150816.374702454,1773.09555306383,E01000853,Camden 025A,1786,0.06,30478
"Malet Street, Bloomsbury",12,51.52168078,-0.130431727,49,24.0,POINT (-0.130431727 51.52168078),832,833,E01000850,Camden 026A,19686,6,504726.595603943,5338.76699427144,E01000850,Camden 026A,2418,0.2,12381
"Scala Street, Fitzrovia",13,51.51991453,-0.136039674,21,17.0,POINT (-0.136039674 51.51991453),833,834,E01000851,Camden 026B,18953,6,349733.861434937,4189.27787214671,E01000851,Camden 026B,2659,0.13,19918
"Belgrove Street , King's Cross",14,51.52994371,-0.123616824,48,63.0,POINT (-0.123616824 51.52994371),921,922,E01000939,Camden 024C,4547,2,198768.989120483,2679.13854373014,E01000939,Camden 024C,1629,0.08,20725
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,26,30.0,POINT (-0.127854211 51.51772703),837,838,E01000855,Camden 028A,19276,6,830022.943870544,7214.70140277257,E01000855,Camden 028A,1757,0.32,5482
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,21,20.0,POINT (-0.125979294 51.52635795),925,926,E01000943,Camden 025E,14517,5,180477.544189453,2000.73339131858,E01000943,Camden 025E,1246,0.07,17800
"Hatton Wall, Holborn",17,51.5216612,-0.109006325,26,32.0,POINT (-0.109006325 51.5216612),898,899,E01000916,Camden 027B,14830,5,381003.488853455,3366.15172038822,E01000916,Camden 027B,2638,0.15,17909
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,27,55.0,POINT (-0.12221963 51.51477076),900,901,E01000918,Camden 028C,13788,5,429650.951187134,3747.30693282962,E01000918,Camden 028C,2520,0.17,14982
