name,id,lat,lon,capacity,number
"River Street , Clerkenwell",1,51.52916347,-0.109970527,19,10.0
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,37,33.0
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,32,13.0
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,23,22.0
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,18,35.0
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,16,43.0
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,39,87.0
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,19,33.0
"Park Street, Bankside",10,51.50597426,-0.092754157,18,15.0
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,24,52.0
"Malet Street, Bloomsbury",12,51.52168078,-0.130431727,49,24.0
"Scala Street, Fitzrovia",13,51.51991453,-0.136039674,21,17.0
"Belgrove Street , King's Cross",14,51.52994371,-0.123616824,48,63.0
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,26,30.0
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,21,20.0
"Hatton Wall, Holborn",17,51.5216612,-0.109006325,26,32.0
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,27,55.0
"Taviton Street, Bloomsbury",19,51.52505093,-0.131161087,30,41.0
"Drummond Street , Euston",20,51.527326,-0.13605286,28,15.0
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806212,26,0.0
"Northington Street , Holborn",22,51.5222641,-0.114079481,19,30.0
"Red Lion Square, Holborn",23,51.51943538,-0.119123345,16,12.0
"British Museum, Bloomsbury",24,51.51908011,-0.124678402,35,53.0
"Doric Way , Somers Town",25,51.5288338,-0.132250369,50,29.0
"Ampton Street , Clerkenwell",26,51.52728093,-0.11829517,21,17.0
"Bouverie Street, Temple",27,51.51382102,-0.107927706,33,25.0
"Bolsover Street, Fitzrovia",28,51.52351808,-0.143613641,19,36.0
"Hereford Road, Bayswater",29,51.513735,-0.193487,22,51.0
"Windsor Terrace, Hoxton",30,51.52915444,-0.093421615,24,53.0
"Fanshaw Street, Hoxton",31,51.52953709,-0.083353323,36,47.0
"Leonard Circus , Shoreditch",32,51.52469624,-0.084439283,43,43.0
"Pancras Road, King's Cross",34,51.5341235,-0.129386874,16,24.0
"De Vere Gardens, Kensington",36,51.50173726,-0.184980612,28,45.0
"Penywern Road, Earl's Court",37,51.49159394,-0.192369256,17,70.0
"Abingdon Villas, Kensington",38,51.4973875,-0.197245586,17,34.0
"Shoreditch High Street, Shoreditch",39,51.5263778,-0.078130921,41,91.0
"Commercial Street, Shoreditch",40,51.52127071,-0.0755789,16,32.0
"Pindar Street, Liverpool Street",41,51.520955,-0.083493552,24,1.0
"Wenlock Road , Hoxton",42,51.53099181,-0.093903825,28,45.0
"Crawford Street, Marylebone",43,51.52026,-0.157183945,18,46.0
"Bruton Street, Mayfair",44,51.51073687,-0.144165239,21,17.0
"Boston Place, Marylebone",45,51.522511,-0.162298,26,17.0
"Nesham Street, Wapping",46,51.507131,-0.06691,16,34.0
"Warwick Avenue Station, Maida Vale",47,51.52334476,-0.183846408,19,74.0
"Godliman Street, St. Paul's",48,51.51248445,-0.099141408,25,22.0
"Curzon Street, Mayfair",49,51.50706909,-0.145904427,16,22.0
"East Road, Hoxton",50,51.52867339,-0.087459376,27,29.0
"Finsbury Library , Finsbury",51,51.52671796,-0.104298194,29,27.0
"Roscoe Street, St. Luke's",52,51.52295439,-0.094934859,18,64.0
"Grafton Street, Mayfair",53,51.5099923,-0.143495266,18,12.0
"Golden Lane, Barbican",54,51.52174785,-0.094475072,27,5.0
"Finsbury Circus, Liverpool Street",55,51.51707521,-0.086685542,33,28.0
"Paddington Street, Marylebone",56,51.52058381,-0.154701411,16,29.0
"Guilford Street , Bloomsbury",57,51.52334672,-0.120202614,32,33.0
"New Inn Yard, Shoreditch",58,51.52452699,-0.079248081,20,33.0
"Lisson Grove, St. John's Wood",60,51.52644828,-0.172190727,18,11.0
