name,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_min_rail_distance,beta_min_park_distance,beta_min_pier_distance,beta_population_density,se_Intercept,se_min_rail_distance,se_min_park_distance,se_min_pier_distance,se_population_density,t_Intercept,t_min_rail_distance,t_min_park_distance,t_min_pier_distance,t_population_density,p_Intercept,p_min_rail_distance,p_min_park_distance,p_min_pier_distance,p_population_density,sumW
"River Street , Clerkenwell",-0.109970527,51.52916347,-0.4303475400875456,-0.351072291332706,-0.23490606075530063,-0.19544147933224498,0.3100767125126685,0.06190307448219953,3.572529503181567e-05,-0.2067443899026266,0.16957181466432547,0.013709276266310608,0.09393496089863838,0.033488069244784605,0.27503461367736953,0.4715728485410868,0.40507805379560985,0.6277476076772762,0.15741498347394087,-0.7517031661518392,0.3595877396014906,0.033843542344132754,0.14963810255877574,0.21273749490516802,0.45245403587863253,0.719251795352893,0.9730104846046623,0.8810884347344632,0.8315867396270915,26.255736400135895
"Phillimore Gardens, Kensington",-0.197574246,51.49960695,-0.2071738536368643,-0.36449587983860676,-0.10758493811805644,-0.09958891551880786,0.3673722590208489,0.07082775638331795,1.0818289089608758e-05,0.4031480406262866,-0.383605725546592,-0.07223423312547902,-0.26552311729432737,-0.03766622931105785,0.5656264466517756,0.3189171548540811,0.3969536644566011,0.22772522821977345,0.11673372015395683,0.7127460941982477,-1.2028381656738059,-0.18197144803880855,-1.1659802445694591,-0.32266794257375603,0.47621388362654027,0.2294002306592159,0.8556519327353932,0.24397521382711107,0.7470323261819762,23.0421053272892
"Christopher Street, Liverpool Street",-0.084605692,51.52128377,-0.40123792881136977,-0.1765018649473567,-0.2966298510096991,-0.1046080778016707,0.152016092819483,0.152264903615477,3.0827299123901905e-05,-0.2010052441308452,0.25861307199993316,0.14714291937071236,-0.022716424309870267,-0.04500572391860852,0.4064772521760003,0.7518229922913088,0.43130529553323793,0.5647343066975636,0.15475909401861496,-0.49450551797130354,0.3439813289186138,0.34115722875323007,-0.04022497666683417,-0.2908114977281728,0.6210870414307574,0.7309520946673488,0.7330761644120661,0.9679239542360265,0.7712720131633456,24.767203576203546
"St. Chad's Street, King's Cross",-0.120973687,51.53005939,-0.3139090949828423,-0.24417656974466653,-0.2605555719522417,-0.05335352303060059,0.09327735654810214,0.09488921425026403,4.383945247741617e-06,-0.2717171552874289,0.026894083390229605,-0.09548800255454393,0.1438000069643202,0.0024028986903567064,0.3056418497245147,0.5188238750232168,0.33195804229129655,0.5474782590996581,0.15162673331566748,-0.889005074181879,0.05183663413528555,-0.28765081844515833,0.2626588445736694,0.015847460654277754,0.37427165096420245,0.9586720021775959,0.773689672329644,0.7928821944851905,0.9873600964829379,26.44808058748362
"Broadcasting House, Marylebone",-0.144228881,51.51811784,-0.18776744611941376,-0.26434477427335573,-0.09679736249460569,-0.09097008362480807,-0.07102483713391994,0.10657891037121237,1.4692023397870644e-05,-0.08148841531440934,0.15865589775959046,-0.015814494961074975,0.02076923096683294,0.03626234352973322,0.39612843228320255,0.4909190417914633,0.5199650222523851,0.4160147750389723,0.12678365016671664,-0.20571210918824212,0.32318138889178727,-0.03041453614046908,0.04992426282188482,0.28601750684768373,0.837068930765632,0.7466436160212613,0.9757441534023688,0.9601953938053541,0.7749398853119045,23.385188410948835
"Charlbert Street, St. John's Wood",-0.16807429999999998,51.53430039,-0.11014181604961157,-0.2993158890235442,-0.005387905839788987,-0.10475391020982258,0.4610893231504951,0.10106636778960316,1.8248090802554988e-05,0.5228121077124698,0.5032612278197963,-0.2049334906687847,-0.25109593039068495,0.18220209769549348,0.9260177897132973,0.4000213042663291,0.4586824506810207,0.34712527577778723,0.16182783359827144,0.5645810626104026,1.2580860630481105,-0.4467872933976726,-0.7233582453137881,1.1259008641727233,0.5725194195931655,0.20873328901048818,0.6551514102656607,0.4696744759428595,0.26055026445179674,20.16064115534877
"Maida Vale, Maida Vale",-0.18348604,51.529857,0.3167991493343005,0.2137935064002569,-0.12814953617921643,0.4449486855135169,-0.006314265581993277,0.2245898496597694,0.0009832694924891093,0.8671229669930289,0.41633173322232586,0.03632342083518064,-0.3761555738638631,0.08516340293551491,1.084549907263481,0.3763550953377969,0.41753898503085246,0.4710671654637082,0.16641353792428992,0.7995233425273529,1.1062205305036406,0.08699408231903581,-0.7985179215231097,0.511757661051952,0.424227953417072,0.26896867874106967,0.9306983165582768,0.4248105880808951,0.6089640043730025,21.507919460023658
"New Globe Walk, Bankside",-0.09644075099999999,51.507385299999996,-0.2071738536368643,-0.11135274499607463,-0.129778593686562,-0.0773952599503023,0.3343443112442496,0.19404812212107925,2.3792796783869246e-05,-0.33666479354618223,-0.25894988383116063,0.17826353696547811,0.059933144437995904,0.04489209129547169,0.7608899932547353,0.8992202439515877,0.30462859605096093,0.9059772642182312,0.11744827931003993,-0.4424618493221156,-0.2879715904673316,0.5851832010401828,0.06615303364120542,0.3822285993391658,0.658276450143648,0.7734442074161394,0.5585920674363771,0.9472727681027958,0.7023948717329246,21.05951185174049
"Park Street, Bankside",-0.09275415699999999,51.50597426,-0.38183152129391923,-0.29039970990748387,-0.03872398383984983,-0.3431075374540694,0.33190768842596435,0.0684196129423226,0.00012340308162937954,-0.20073721286374657,-0.2730294093223368,0.2507323158740618,0.14668936593764834,0.035752398679988626,0.6410927961951803,0.8972254207911932,0.26035378087009664,0.8304499662436028,0.1163912230146599,-0.3131172492579877,-0.3043041391778372,0.9630446503834893,0.17663841519697132,0.30717435347754257,0.7542744390087256,0.7609765337182519,0.3358205473733027,0.8598378050866208,0.7587918239454867,21.120055453276112
"Brunswick Square, Bloomsbury",-0.122502346,51.52395143,-0.022812982221084105,-0.0703966173833861,-0.2396725959977424,0.2168596137766583,0.10598248555457021,0.06321224531394587,4.5040345572616254e-05,-0.23547374725615172,-0.042508779048665804,0.10118982637284507,-0.1119290868673366,-0.030927232062087077,0.4573315742371415,0.7394682698173266,0.4675324826256571,0.8423595306954978,0.13719699022976053,-0.51488626747221,-0.057485602538655096,0.21643378831041676,-0.13287566981633347,-0.22542208841676467,0.6067768881194623,0.9541729479891758,0.8287056477762069,0.8943256321064948,0.8217093778712147,21.496643815701532
"Malet Street, Bloomsbury",-0.130431727,51.52168078,-0.29450268746539177,-0.2302512293651402,-0.21372023462847456,-0.0807824528369172,0.2948658211914377,0.25684145670124897,4.035169607697368e-05,-0.13141312207831168,0.07716547006597305,0.06177082531967271,-0.06163020995337181,-0.014099165650518025,0.40012118134250835,0.5198317772721365,0.36235047025917605,0.3967368533907431,0.1322870442446592,-0.32843330522365055,0.14844315688222393,0.17047259598004744,-0.15534279063476034,-0.10658009430191988,0.7426713194964101,0.8820310204331412,0.8646822432623125,0.8765908653331393,0.9151492379096167,26.3584983835013
"Scala Street, Fitzrovia",-0.136039674,51.51991453,-0.3624251137764687,-0.3979295791518779,-0.15290147949555824,-0.20952363428091045,0.32829736868081005,0.04737601472932658,3.0472429826682085e-05,-0.10202606686148612,0.14969627507664665,-0.023691236344040804,-0.1317101912612689,0.018640208647869437,0.36377021795842396,0.45146514228232115,0.40629061898913127,0.345888530032123,0.12409419944902049,-0.28046844360729634,0.3315788109794641,-0.05831105921910191,-0.38078797018518323,0.15021015269555027,0.7791917480711812,0.7402954858681854,0.9535156418247484,0.7034632173878408,0.8806372552227524,25.13788131169881
"Belgrove Street , King's Cross",-0.123616824,51.52994371,0.0839222591248939,0.13860204297527376,-0.26145077182355525,0.3453730309484492,0.1044633742820511,0.10971443110956872,0.0002195368757876742,-0.2613593019506725,0.03456150365736829,-0.07038312346432375,0.12269625576712484,0.0015235370141040302,0.33431585945520736,0.5100969778343821,0.29504241089085953,0.4677521241976428,0.1420952671712011,-0.7817735669991156,0.06775477048325053,-0.238552563517248,0.2623104191725297,0.01072194059967122,0.4345824853055066,0.9459980365645229,0.8115145739751939,0.7931506873216865,0.9914480068756837,26.235276291715465
"Great Russell Street, Bloomsbury",-0.127854211,51.51772703,-0.23628346491304011,-0.29114888505754144,-0.13978175562699696,-0.09650170928604315,0.5085765649443937,0.0894122411270358,1.3352079958196972e-05,-0.1052860167160685,0.01900517368024513,0.39644347881210795,-0.42661705364674163,0.008321773200716849,0.37274725840695916,0.5081802300770462,0.44384136504345023,0.42498999394340187,0.14595835535578425,-0.2824595334813141,0.037398490841258666,0.8932098493643056,-1.0038284659086738,0.05701470930137513,0.7776653448410203,0.9701767479747063,0.37201750284783297,0.31576944584544553,0.9545479314455908,22.842707337399737
"Cartwright Gardens , Bloomsbury",-0.125979294,51.52635795,-0.33331550250029285,-0.31608297968116295,-0.24087212546540512,-0.09244337703488772,0.0563102813486684,0.06906688947096822,9.055451212913953e-06,-0.17691654791083725,0.09898410569099782,0.0029532773036426534,0.08861643563873171,-0.016280492955524497,0.4982988161702726,0.7813990915573352,0.3804991714637166,0.6931869449940732,0.14051516685077475,-0.35504107609676416,0.1266754808912327,0.007761586686987754,0.12783915836656357,-0.11586288740498857,0.7226538231963319,0.89922956801367,0.9938091764768029,0.8983088770507615,0.907790728324656,22.845753445889788
"Hatton Wall, Holborn",-0.109006325,51.521661200000004,-0.21687705739558957,-0.2529834086630929,-0.2916396687526214,0.0747626113570318,0.278844324143281,0.0811539429061788,7.143623958385947e-06,-0.2394205480393565,0.09723769316201467,0.06051086158157224,-0.009950250669591902,-0.01674646180923797,0.2625862772246575,0.5667353922115275,0.27768870686846103,0.4457327585087043,0.15131681070491337,-0.9117785992849832,0.17157512041478754,0.21790897535575965,-0.022323355148682868,-0.11067152242519607,0.36216412151046296,0.8638156183621593,0.827556448785076,0.9821956701614858,0.9119050094597918,19.47143572442753
"Drury Lane, Covent Garden",-0.12221963,51.51477076,0.0062966290550917165,-0.12376790911769182,-0.23898114601990153,0.24527777507499324,0.6234084454879916,0.07310403064761661,6.806459726574533e-05,-0.08882708472523514,-0.20576663071801787,0.46129292202705835,-0.26382483517166505,0.011593158859012008,0.448681030786015,0.8886988668181142,0.5082317169526973,0.8102237682098588,0.15011805910939038,-0.1979737912468124,-0.2315369563311609,0.9076429247527508,-0.32561971830889425,0.07722694343232964,0.8431166288922683,0.8169577875096149,0.3643443881296681,0.7447985349998649,0.9384626117118738,24.486389183347107
"Taviton Street, Bloomsbury",-0.13116108699999998,51.52505093,-0.1295482235670621,-0.17778776673741886,-0.2482065589943024,0.1186583354272403,0.09798217661860342,0.10396429749496464,2.4241285431767496e-05,-0.1094974467182909,0.18265944318288008,-0.01419918232267229,0.12379776375944446,-0.010723266862643938,0.46377875057184625,0.653868882774137,0.3287598008282864,0.43005094989934894,0.14279356631263931,-0.23609845553139053,0.2793517905423484,-0.043190141516385165,0.28786766728086205,-0.07509628857623658,0.8134176243735545,0.7800481672017949,0.9655609051074399,0.7735237302460533,0.9401571606820748,25.27695096768486
"Drummond Street , Euston",-0.13605286,51.527326,-0.38183152129391923,-0.43282119527763685,-0.24300270321281917,-0.13882881808110006,0.19498983479359375,0.17703477968069625,6.698544265330534e-05,-0.14787732436806178,0.17095375272134217,-0.06951137743922978,0.15049383104388347,-0.006045634982769408,0.41164328541800815,0.5511920614939165,0.3120592941885392,0.3537891249019005,0.14229329874838145,-0.3592365759541006,0.31015278459925527,-0.2227505436746664,0.4253772104657337,-0.04248713773555816,0.7195143550611467,0.7565267813204385,0.8237873855051433,0.6706778576116297,0.9661211280969466,23.151844083470593
