name,id,lat,lon,capacity,number,Blackfriars_lat,Blackfriars_lon,Cannon Street_lat,Cannon Street_lon,Charing Cross_lat,Charing Cross_lon,Euston_lat,Euston_lon,Fenchurch Street_lat,Fenchurch Street_lon,King's Cross_lat,King's Cross_lon,Liverpool Street_lat,Liverpool Street_lon,London Bridge_lat,London Bridge_lon,Marylebone_lat,Marylebone_lon,Paddington_lat,Paddington_lon,Victoria_lat,Victoria_lon,Waterloo_lat,Waterloo_lon,St Pancras_lat,St Pancras_lon
"River Street , Clerkenwell",1,51.52916347,-0.109970527,19,34,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,37,39,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,32,4,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,23,6,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Sedding Street, Sloane Square",5,51.49313,-0.156876,27,24,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,18,17,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,16,22,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,39,16,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,19,24,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
"Park Street, Bankside",10,51.50597426,-0.092754157,18,21,51.5116,-0.103,51.5101,-0.0912,51.5075,-0.1231,51.5287,-0.1345,51.5114,-0.0783,51.5324,-0.1233,51.5185,-0.0819,51.5053,-0.0851,51.5231,-0.163,51.5171,-0.1769,51.4966,-0.1448,51.5031,-0.1132,51.5314,-0.1261
